"","Rec.cv","Mean.age.catch","Percent.attain","Depletion","PSA","Comm.Leng","Comm.Oto","Surv.Len","Surv.Oto","N.indices","N.index.obs.","N.est.pars","n.mort.pars","n.growth.pars","n.SR.pars","n.recdevs","n.for.rec","n.sel.pars","n.ret.pars","n.index.var.pars","n.catchability.pars","n.pos.hauls","OFL.SQ","half","pass1","pass2","even","odd","noSurv"
"Rec.cv",1,-0.292460088126015,-0.144807802521364,-0.118743551166355,-0.448991283848881,-0.208124972444556,-0.230819368898169,-0.171768419708255,0.19683133796136,0.25708336650808,0.341170422652921,-0.215537822689171,-0.219457387181191,-0.319949149796106,-0.181383359467491,-0.0715829028124855,-0.0326527366587477,-0.273911401769442,-0.481283913306385,-0.0593436323748366,-0.189921332559517,-0.044057622834896,-0.440594275793156,-0.13466669466908,0.0781808840505892,0.182591180159945,0.389157733898286,-0.282118091570562,0.348228874134497
"Mean.age.catch",-0.292460088126015,1,-0.170126717216822,0.285567788520377,0.429222129688008,-0.215780341778112,-0.23122744129696,-0.268618491166225,-0.254459508831159,-0.00213381937022643,-0.354771641870619,-0.118756115796382,-0.482193183722689,0.0202092230159147,-0.278961658393094,-0.0465815658224338,0.112378493006729,-0.231899776703555,-0.0846533250488715,-0.365403356445714,-0.387250312368243,-0.287507622387075,-0.00136578626367525,0.147928579911476,-0.326538788434007,0.380430332900527,-0.052009115808928,0.0892245741078085,-0.30592287663997
"Percent.attain",-0.144807802521364,-0.170126717216822,1,-0.789962131388342,0.192116315907902,0.54336028891083,0.538937833476963,0.143366994797425,0.677211680375932,0.183804175329034,0.631227033748991,0.683282909735322,0.255517326051017,0.499062359914142,0.182180488574428,0.71521768240408,0.298409710499812,0.223131494745549,0.729661515777399,0.145808563903854,0.690541754499306,0.305615018537935,-0.164145989262735,0.246165207259892,0.300485778616561,0.086789137938938,-0.0332901955810147,0.106245181183532,-0.0325370467613609
"Depletion",-0.118743551166355,0.285567788520377,-0.789962131388342,1,-0.395018383454995,-0.267429680781379,-0.372825144626363,0.166101480269283,-0.593561022971841,-0.223655103551493,-0.550312745234382,-0.713011233280836,-0.0437941028968442,-0.529080665533682,0.0730624390984857,-0.746714875989267,-0.43289706955553,-0.353541896098627,-0.516510220658715,0.0145410229047116,-0.736045857736984,-0.0193475818527028,0.418091732149433,-0.345992433235742,-0.484318425379725,-0.165633871193195,-0.233347083160863,0.118594806587392,-0.268998529420415
"PSA",-0.448991283848881,0.429222129688008,0.192116315907902,-0.395018383454995,1,-0.177989390947055,-0.0704880114949452,-0.555412546913089,-0.232405451727133,-0.164266869221201,-0.256616980695405,0.17895213713055,-0.0762458220444583,0.19037285368237,0.0668638460773354,0.161809121178631,0.0612160716170898,0.113385088596957,0.220621864839281,-0.227582370699945,0.183730385914394,-0.543545546221466,-0.313888925578102,0.183982492574324,-0.109796030371052,0.0926802442820091,-0.143303571046175,0.0786481051225438,-0.202975854084365
"Comm.Leng",-0.208124972444556,-0.215780341778112,0.54336028891083,-0.267429680781379,-0.177989390947055,1,0.923065817447606,0.438135866664656,0.642001456471671,-0.0672905770089247,0.33872696476101,0.410534276239368,0.543849044573874,0.314741792627515,-0.0201357614764669,0.44412329270414,0.105185979954276,0.169210921480589,0.278708905675191,0.537500208578754,0.353304628251289,0.616662615452679,0.452923283612496,0.284249471989223,0.345955682464854,-0.251308923045686,-0.219498915850738,0.454882436114329,0.262483584508959
"Comm.Oto",-0.230819368898169,-0.23122744129696,0.538937833476963,-0.372825144626363,-0.0704880114949452,0.923065817447606,1,0.411946576419154,0.702851168685058,0.184435363279913,0.401546656097859,0.592123254740137,0.526994040506694,0.382429695309155,-0.167961063498629,0.635163993000828,0.304603624606548,0.263265808394226,0.400549364663363,0.482157654138777,0.508017633061378,0.586199648375644,0.433926317861663,0.457059375006178,0.582471891195949,-0.133532125648002,0.0850889813012692,0.219181014506507,0.425003693099717
"Surv.Len",-0.171768419708255,-0.268618491166225,0.143366994797425,0.166101480269283,-0.555412546913089,0.438135866664656,0.411946576419154,1,0.486364290938298,-0.0949957730663186,0.0102663459178043,0.240785892682834,0.515946133467812,0.281712729935918,0.110710449272812,0.186375226162369,-0.0188409073806506,0.133784524073991,0.360304262549234,0.710395342704445,0.258514555123186,0.950552153415484,0.712040709889142,0.088851252848588,0.359412626084442,0.167332229843068,-0.0624514263329721,-0.275155201158765,-0.0176634867489942
"Surv.Oto",0.19683133796136,-0.254459508831159,0.677211680375932,-0.593561022971841,-0.232405451727133,0.642001456471671,0.702851168685058,0.486364290938298,1,0.410452260867007,0.699500851860571,0.76067974447702,0.232404298211986,0.625177152454135,-0.314969318951092,0.789212480391124,0.533142943427631,0.420696961451187,0.458048548471563,0.341262957036807,0.510770624602072,0.709546793249779,0.196147382331378,0.311594435113107,0.648053414471425,0.311597157461793,0.328151509024523,-0.267502368598945,0.420834123490979
"N.indices",0.25708336650808,-0.00213381937022643,0.183804175329034,-0.223655103551493,-0.164266869221201,-0.0672905770089247,0.184435363279913,-0.0949957730663186,0.410452260867007,1,0.718516527642823,0.506224006548634,-0.346909939753987,0.224461971650997,-0.556293487982489,0.552666647780119,0.732762977200686,0.262519885068216,0.260239059380245,-0.427451819865788,0.180200710952131,0.00268192250246635,-0.124581585955832,0.151765736535763,0.400267483682746,0.235412256078134,0.821962779288567,-0.465429895723285,0.396972251306997
