"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",4956976.04677458,0.319075262297957,NA,NA,4879372.19707232,0.321067059994972,3481368.15006389,0.476942790437543,2739351.57881698,0.496742702213956,7489340.61153606,0.50102788207294
"2004",5930940.96976471,0.274705558974769,5968152.17284932,0.278075081414805,NA,NA,7618312.63892325,0.364223185813953,5779629.04874526,0.469570411024617,6132318.46782659,0.390278303198592
"2005",4552668.69167612,0.208477718853768,NA,NA,4447136.40244034,0.219942988373755,3999701.74143347,0.343608540310085,3379556.11976167,0.407331715152461,5700550.01734318,0.300313397161785
"2006",4453535.36037785,0.203977486128238,4459493.25664628,0.218906049384808,NA,NA,5150480.84644004,0.386939633501368,4582053.52760642,0.34287997048983,4417321.16090297,0.575101637002254
"2007",4884648.57727,0.223628597256046,NA,NA,4863233.94546782,0.236678550906205,6052958.53611139,0.410733912020777,4124134.89338538,0.891924951019753,5922185.93646755,0.318351440733001
"2008",4269896.1698781,0.182258403676957,4279564.56069527,0.186176324549564,NA,NA,4371010.66555112,0.314459211912462,3126595.32489293,0.314641853637766,5423135.67609439,0.287773518898402
"2009",4727082.36292508,0.201143936685752,NA,NA,4636158.5558529,0.213278845051583,4417500.70171383,0.375285202218808,3801083.65131491,0.332686580238919,5936845.33272506,0.349678487778136
"2010",4072903.9041447,0.189889150929637,4069470.79689137,0.186379508934891,NA,NA,3923529.15456257,0.277075475213907,3072553.83071342,0.327579663387329,5082040.40909333,0.262351144226117
"2011",4220502.82943906,0.215454391071002,NA,NA,4241375.52497851,0.230279759651062,4577051.41429396,0.347331618134682,4039796.37982291,0.342524943834755,4754512.40723254,0.409737413060479
"2012",4550480.64193659,0.324111211644936,4527857.76681191,0.339125576253615,NA,NA,4758388.22993159,0.519140842734027,4226560.49303517,0.611458224735898,4928297.56065182,0.477889740567679
