"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",7031181.78653685,0.594591565868139,NA,NA,4943793.85314704,0.583841374813916,8572954.39631239,0.74071026041789,4951427.97928666,0.76158214483165,10096304.0994737,0.739143218902204
"2004",11246540.925451,0.67306690938659,17009709.7093929,0.703130333718378,NA,NA,14866648.9807111,0.787884921204871,24406622.8164756,1.08640908210351,6320351.83671384,0.724890820310839
"2005",11731490.6570076,0.585515294049864,NA,NA,7332628.17775306,0.597727966834243,27145094.0102203,0.761701794903596,8857390.29297242,0.812740083322346,9447661.9292956,0.75549324967942
"2006",25300366.4769859,0.667891226615894,49878824.1954101,0.683277119598753,NA,NA,4443256.92862542,1.03902959946065,17850548.2342652,0.843255852814479,79882266.6364899,0.982570241350649
"2007",9530248.84779089,0.615185538098376,NA,NA,6165254.40724693,0.601272468126092,15051427.210081,0.787932742742342,21972650.9622395,0.815740773300083,2071740.10715519,0.749128762851681
"2008",14166052.1600849,0.62046404364968,20875111.9420141,0.670910749952991,NA,NA,22744627.7652769,0.824120965393052,10496772.7324264,0.844667217010745,16735222.5092141,0.786452632175093
"2009",3985946.15435077,0.628218337601407,NA,NA,2578165.27529199,0.632509455358597,5566800.86174981,0.874865950316647,7247875.78450677,0.866979577752517,2789371.96165459,0.76150218177009
"2010",6754372.42048897,0.598658174013527,8403186.52143199,0.644954999432416,NA,NA,3961204.74532764,0.794259586009453,11278077.6274072,0.770034009978561,2532085.92710542,0.781063289203051
"2011",6177021.99552256,0.59180101682501,NA,NA,5703579.82735685,0.579267333766268,8297647.79449031,0.751288021697244,14163995.9514054,0.812529986840177,2888487.31220647,0.737865632715256
"2012",11015671.0897025,0.675241746826029,14313314.6414564,0.705132648907633,NA,NA,8168186.5553592,1.00094587215826,5857796.44617028,0.775647393008584,14572921.3054599,0.685245084790701
