"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",94838997.1383262,0.466423133147565,NA,NA,82151179.2113841,0.478166425024375,111289034.966768,0.833332840902914,84924658.6510005,0.688868323462112,89823461.9012601,0.720001469687227
"2004",63915369.890495,0.526768190024651,82412810.0588526,0.649321053785002,NA,NA,73926082.377318,0.850996967950239,89726711.2449044,0.934682849780069,74583597.3016903,0.745437922505876
"2005",91094086.7923605,0.45728151493904,NA,NA,104026714.007142,0.481909774843568,53567349.1527092,0.834752975120897,84856197.4834643,0.684855121965256,92779154.2689746,0.718468300668036
"2006",46718528.0779265,0.49614067252511,52903224.1619178,0.596467178122723,NA,NA,124099258.936981,0.870400302161859,25918761.0626472,0.66377993528393,69344203.1516062,0.787773099073862
"2007",71533808.4084952,0.500423164487526,NA,NA,85607724.6054652,0.520010964084976,72419541.7511916,0.857326509694347,50164106.7892582,0.686177816676144,75592998.549349,0.790249937567301
"2008",26513240.9933982,0.463628042340685,26080750.3652639,0.541986597390214,NA,NA,24066482.3372636,0.852948576853085,41901420.2986559,0.642271183043342,20255821.7068338,0.752501687514113
"2009",15788016.9531275,0.469010635960981,NA,NA,22234387.5267415,0.507422243431422,12958425.1770075,0.845431619647179,25103918.5230143,0.665003723926905,10425927.9917213,0.718134232759004
"2010",29126248.9171906,0.458690082306896,22638108.3479378,0.581206779962508,NA,NA,15938410.0886293,0.822818623375497,23963120.0960715,0.666562806675942,37373430.3590928,0.730322730489778
"2011",17961711.4047574,0.487176095180821,NA,NA,19391641.2118675,0.508424100034171,7358821.6234385,0.858155990755868,43583627.6276681,0.836824877816976,13573758.5700339,0.740974288584585
"2012",35972813.5378247,0.483112220008752,37529603.860841,0.621844125356034,NA,NA,19340249.6572128,1.13907800531729,43904294.5342827,0.691196272261054,20204732.0819185,0.708243135632855
