"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",21181352.7238194,0.371809794838427,NA,NA,21880027.2711952,0.59454129446412,12060280.9193597,0.498677438146208,12970909.3869968,0.692506487300711,32556365.2108942,0.430598665669361
"2004",9870580.68226687,0.417816121404415,10781107.013471,0.389121540957919,NA,NA,10366678.8587441,0.492874296936004,17100901.6141288,0.900769150134157,8171746.95597269,0.432999597090393
"2005",9664840.9726557,0.383576094787175,NA,NA,8906812.10134395,0.564550112815984,5984575.3387537,0.497596436215182,15821300.2663008,0.702909417257047,6124411.74692916,0.431352243593463
"2006",7265956.42873865,0.40415030635762,7194206.6051428,0.354898216016416,NA,NA,6291149.5093267,0.564551284598931,9166168.49686138,0.760596430066985,6798475.49450802,0.515184019530958
"2007",7839321.97100078,0.398156387498322,NA,NA,9023309.89041819,0.62607163638812,10444900.6291689,0.502484470542723,17337685.7808124,0.719638500591394,4326580.31705108,0.444160244214807
"2008",5495235.85296461,0.382095477174374,5712263.53758582,0.343449664108421,NA,NA,5669407.34817137,0.507619472854609,6996761.81815534,0.702758035166426,3888823.86076755,0.45954209208524
"2009",12233001.7563625,0.398552758702268,NA,NA,12514555.2173711,0.612433651987907,10920550.2630453,0.488392425891767,24941537.8368661,0.713508211451953,6331233.48022498,0.448315036636343
"2010",6139243.90325366,0.374434825164886,6267685.00109029,0.32995822306485,NA,NA,5657699.98366897,0.502880096901389,7978473.58192091,0.69012347494216,4462506.26319494,0.461766771395616
"2011",7319392.44602861,0.373655681057892,NA,NA,7201105.20549604,0.571683716415117,5519902.06954438,0.486823312902645,9515231.10358191,0.732631276922774,5844144.43400736,0.420665124071473
"2012",11082576.6464296,0.415052007120091,10646125.9410384,0.339487615139727,NA,NA,11388505.1119924,0.607874365693388,9857937.01326893,0.670322246119232,12407253.3096999,0.464468846773484
