"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",270867017.747252,0.0793171379833225,NA,NA,263728717.871548,0.0864558531384407,281066424.445119,0.123225865719237,291389303.574365,0.104095835817798,255443044.242724,0.152345373485149
"2004",303890946.001894,0.0880938013001519,313190368.051201,0.0900057055754583,NA,NA,281783645.647221,0.11856989828225,270227932.842066,0.14369117959825,382292015.361911,0.149404164011083
"2005",295082965.669511,0.0786335724655089,NA,NA,290437408.372355,0.0831956719373953,255291197.639266,0.118176711460719,300136988.734625,0.101302573494926,296252973.920075,0.148492928139118
"2006",297685032.74731,0.0760444107345179,308367846.724854,0.0793104256003115,NA,NA,341987102.463451,0.121041284849924,309851339.650255,0.10021968483134,266429416.627485,0.146487438932821
"2007",324898797.640261,0.0718883263598829,NA,NA,315922392.835121,0.0791845898592386,330735228.142403,0.114186598168783,342379739.635703,0.0955679389768337,293312027.019641,0.146310402070386
"2008",285454219.920374,0.0737586561092711,290522699.011679,0.07546341384651,NA,NA,281063818.409212,0.119467575885113,297428321.912302,0.0994484406632167,255200606.905851,0.145613441844728
"2009",235095351.60774,0.0743243839200813,NA,NA,235221760.341747,0.0806690747066971,237950832.109132,0.109447058823775,241035383.317038,0.0974428861021898,225936803.571956,0.148095061895054
"2010",223489581.083525,0.0730452792063214,224761102.812023,0.07170489837398,NA,NA,206191388.9183,0.114743645646165,224241127.53357,0.0992180675747958,225674554.588997,0.148815772089857
"2011",217797286.368943,0.0733792710998751,NA,NA,216839303.489195,0.0785212646232535,201368797.018468,0.113870814451757,216827069.695135,0.0944945406514951,213507327.507071,0.145953231297555
"2012",230711356.853205,0.0801588848666454,228556666.007761,0.0817699900466208,NA,NA,218709972.03155,0.147466483213771,202590130.736705,0.0967258837105802,264311597.439112,0.14819242242756
