"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",12996802.2711377,0.136235200932122,NA,NA,13064203.4012292,0.135948385442951,12267393.6033943,0.23757136076292,11986882.9477689,0.205691829973757,14353274.3940188,0.206378746139624
"2004",16591908.067246,0.138372944263613,16564729.4193629,0.159724458174468,NA,NA,17016083.853106,0.21763352378386,13523255.978785,0.25401039913432,18255037.6386337,0.148999840033809
"2005",16084959.1234379,0.127271587643893,NA,NA,16173925.8385567,0.119859685424996,14397458.730594,0.23056730923318,13657286.4680032,0.187681430441481,19243123.7506667,0.196827194559407
"2006",13947461.3742544,0.149135466281039,13888058.8767661,0.166834726961803,NA,NA,14341459.2955827,0.274798338784237,18330777.7714048,0.573207353362423,11738761.5001629,0.192577650861612
"2007",13925411.364285,0.139408231048835,NA,NA,14109489.6270434,0.13636167878287,11521867.2571872,0.255774321252589,12576626.3889664,0.233174457438372,13793186.2678663,0.165944260558743
"2008",11427384.3250357,0.143854498050505,11282100.9294747,0.156031589465182,NA,NA,11922970.1127771,0.27179213661932,10515926.478093,0.193577583308559,12891539.8869234,0.256528388625675
"2009",11239956.9587191,0.141477955872918,NA,NA,11357126.5149966,0.133731456828721,13904766.074797,0.237972472748433,13690454.1008543,0.190412191695318,9630066.77212926,0.225891832920089
"2010",17922024.5831891,0.133556128674517,17690382.9687991,0.150420246517264,NA,NA,19844447.0708964,0.257077236578942,15830079.7717537,0.206746579848244,20597062.6382823,0.158055808121034
"2011",25150511.0033087,0.13124269310223,NA,NA,25563661.2509012,0.127762486242574,26338037.8018566,0.235850223902789,24884236.5836722,0.1874318890622,25314020.0388944,0.175218774493612
"2012",31176332.4485271,0.165521161372021,31061224.7010915,0.183132885210277,NA,NA,33116412.7459925,0.304560347617716,39416995.5657453,0.236719982743177,25164788.1999091,0.202010789893735
