"","unchanged_IndexMedian","unchanged_SdLog","even_IndexMedian","even_SdLog","odd_IndexMedian","odd_SdLog","drop_half_IndexMedian","drop_half_SdLog","1st_pass_IndexMedian","1st_pass_SdLog","2nd_pass_IndexMedian","2nd_pass_SdLog"
"2003",185919057.521483,0.147655589054677,NA,NA,167455596.184554,1.87727451116263,153228672.78757,0.255547931328925,184754377.812255,0.31342514203525,182570641.589867,1.71542866071064
"2004",131650276.849638,0.1673363068516,139552779.534963,0.170381096735403,NA,NA,157429637.491078,0.245905114243504,105191322.504016,0.423867001869034,149099153.344782,1.76119171779468
"2005",96735205.4650049,0.147717117278218,NA,NA,94613671.8976313,1.83073549191662,88923027.5627396,0.25005784805329,107386859.027538,0.319038211058038,87320508.9595902,1.69818096849187
"2006",94023816.4344079,0.146664523625093,95562720.8800661,0.152383537132145,NA,NA,105092994.610692,0.246172054490588,99498929.2432268,0.314242471669752,90492305.4967127,1.56950519160068
"2007",79153011.864923,0.152379840148798,NA,NA,79793403.0285692,1.6696088848287,81036795.4712272,0.247236302220171,70407670.698865,0.313639089689618,85758780.7991334,1.5783568349213
"2008",59115078.9193286,0.150971392374946,59958119.8755191,0.152993308277693,NA,NA,63850066.6735674,0.253303489777908,62059118.0781594,0.310443185640841,58003959.7727388,1.64153627532934
"2009",60785004.5772369,0.140967150502246,NA,NA,58848251.7413147,1.6734912183469,63074337.9107707,0.271271206941998,70295689.6617424,0.312497225582263,47100364.1792452,1.48091356093066
"2010",65785734.1215112,0.146521959409115,71700862.8056823,0.15475765141599,NA,NA,58821942.1782749,0.248874714992868,56434592.3234046,0.309153652989564,77097072.3694509,1.65175017581024
"2011",71826337.6071178,0.149274685495689,NA,NA,69843344.6417857,1.72679766221037,64448672.4878026,0.250542930647151,83892051.7347466,0.306179087342485,61888819.5886937,1.61975528529991
"2012",66289902.5878811,0.167134547123305,66708412.3751569,0.173449203720126,NA,NA,58960024.7375503,0.357760125997524,62718916.624241,0.304536501001066,67624611.1887347,1.59472250254403
