,unchanged_IndexMedian,unchanged_SdLog,even_IndexMedian,even_SdLog,odd_IndexMedian,odd_SdLog,drop_half_IndexMedian,drop_half_SdLog,1st_pass_IndexMedian,1st_pass_SdLog,2nd_pass_IndexMedian,2nd_pass_SdLog
2003,58481391.23,0.093520399,NA,NA,57880569.01,0.10014193,71163963.44,0.154402983,68981326.78,0.138050963,50258687.38,0.13091979
2004,58112671.07,0.116602101,59076062.49,0.120069398,NA,NA,58657467.42,0.214975064,69559741.84,0.269662154,57511796.16,0.121795186
2005,53032891.74,0.089296723,NA,NA,52286805.68,0.098806481,49840929.24,0.144634131,50985865.27,0.154652227,56305783.87,0.114863777
2006,50326570.29,0.098645473,51000284.48,0.100665571,NA,NA,50261017.29,0.156449098,53714919.99,0.143316251,46299276.28,0.131156461
2007,50272617.13,0.096757394,NA,NA,49810525.44,0.10307681,50904788.09,0.151689085,50495418.34,0.142692386,51125645.87,0.141358164
2008,37559515.77,0.093505694,38290218.24,0.0993283,NA,NA,41128516.46,0.151336579,41727802.53,0.143118296,33835982.92,0.126588152
2009,36543526.8,0.100003273,NA,NA,36213505.02,0.108694029,40904432.42,0.17226682,41868191.32,0.157947686,32309399.02,0.132563686
2010,40696933.25,0.091265694,41204902.46,0.095080533,NA,NA,42224609.04,0.149816839,37587055.94,0.146636174,44351430.31,0.114681099
2011,44676015.25,0.093178912,NA,NA,44268604.23,0.097950493,44739294.42,0.148110622,50915970.41,0.141319601,38869074.43,0.130038097
2012,47542235.98,0.109029292,48379119.66,0.110940163,NA,NA,44574179.58,0.190589538,48876015.85,0.154793819,45395017.46,0.136165098
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2003,1,4,58481391.23,0.093520399,,,,,,,,
2004,1,4,58112671.07,0.116602101,,,,,,,,
2005,1,4,53032891.74,0.089296723,,,,,,,,
2006,1,4,50326570.29,0.098645473,,,,,,,,
2007,1,4,50272617.13,0.096757394,,,,,,,,
2008,1,4,37559515.77,0.093505694,,,,,,,,
2009,1,4,36543526.8,0.100003273,,,,,,,,
2010,1,4,40696933.25,0.091265694,,,,,,,,
2011,1,4,44676015.25,0.093178912,,,,,,,,
2012,1,4,47542235.98,0.109029292,,,,,,,,
2004,1,4,59076062.49,0.120069398,,,,,,,,
2006,1,4,51000284.48,0.100665571,,,,,,,,
2008,1,4,38290218.24,0.0993283,,,,,,,,
2010,1,4,41204902.46,0.095080533,,,,,,,,
2012,1,4,48379119.66,0.110940163,,,,,,,,
2003,1,4,57880569.01,0.10014193,,,,,,,,
2005,1,4,52286805.68,0.098806481,,,,,,,,
2007,1,4,49810525.44,0.10307681,,,,,,,,
2009,1,4,36213505.02,0.108694029,,,,,,,,
2011,1,4,44268604.23,0.097950493,,,,,,,,
2003,1,4,71163963.44,0.154402983,,,,,,,,
2004,1,4,58657467.42,0.214975064,,,,,,,,
2005,1,4,49840929.24,0.144634131,,,,,,,,
2006,1,4,50261017.29,0.156449098,,,,,,,,
2007,1,4,50904788.09,0.151689085,,,,,,,,
2008,1,4,41128516.46,0.151336579,,,,,,,,
2009,1,4,40904432.42,0.17226682,,,,,,,,
2010,1,4,42224609.04,0.149816839,,,,,,,,
2011,1,4,44739294.42,0.148110622,,,,,,,,
2012,1,4,44574179.58,0.190589538,,,,,,,,
2003,1,4,68981326.78,0.138050963,,,,,,,,
2004,1,4,69559741.84,0.269662154,,,,,,,,
2005,1,4,50985865.27,0.154652227,,,,,,,,
2006,1,4,53714919.99,0.143316251,,,,,,,,
2007,1,4,50495418.34,0.142692386,,,,,,,,
2008,1,4,41727802.53,0.143118296,,,,,,,,
2009,1,4,41868191.32,0.157947686,,,,,,,,
2010,1,4,37587055.94,0.146636174,,,,,,,,
2011,1,4,50915970.41,0.141319601,,,,,,,,
2012,1,4,48876015.85,0.154793819,,,,,,,,
2003,1,4,50258687.38,0.13091979,,,,,,,,
2004,1,4,57511796.16,0.121795186,,,,,,,,
2005,1,4,56305783.87,0.114863777,,,,,,,,
2006,1,4,46299276.28,0.131156461,,,,,,,,
2007,1,4,51125645.87,0.141358164,,,,,,,,
2008,1,4,33835982.92,0.126588152,,,,,,,,
2009,1,4,32309399.02,0.132563686,,,,,,,,
2010,1,4,44351430.31,0.114681099,,,,,,,,
2011,1,4,38869074.43,0.130038097,,,,,,,,
2012,1,4,45395017.46,0.136165098,,,,,,,,
